Sender,Title,Incipit,Reference,Cited names,Subject,Places
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Lapi Michelangelo, 1656.
","Tipologia: letteraIncipit: ""E' già un tempo che viviamo in un continuo pensiero della salute di Vostra Signoria...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 14, c. 20r-v<br/>
</td>","Serni,  (citato.)
Barducci, Giovanni Battista, m. 1661,  (citato.)
Lapi, Michelangelo, sec. XVII,  (destinatario.)
","*Argomenti privati.
","*Firenze  (provenienza.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Del Bianco Baccio, 3 giugno 1656.
","Tipologia: letteraIncipit: ""La certezza che ho che questo mio foglio sia per essergli recapitato...""Minuta. A c. 21v e 22v brevi annotazioni di contiPubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 346-347, n. 707
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 15, c. 21r<br/>
</td>","Del Bianco, Baccio, 1604-1656,  (destinatario.)
Medici, Giovanni Carlo de', 1611-1663,  (citato.)
Valori,  (citato.)
Del Bianco, Raffaello, sec. XVII,  (citato.)
",,"*Firenze  (provenienza.)*Madrid  (destinazione.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Serni Pompeo, 14 giugno 1656.
","Tipologia: letteraIncipit: ""Tardi mi fu resa la favoritissima di Vostra Signoria Eccellentissima insieme...""MinutaPubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 348-349, n. 709
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 16, c. 23r<br/>
</td>","Serni, Pompeo, sec. XVII,  (destinatario.)
Casati, Paolo, 1617-1707,  (citato.)
Serni, Bartolommeo, sec. XVII,  (citato.)
",,"*Firenze  (provenienza.)*Roma  (destinazione.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a [non identificato], 30 giugno 1656.
","Tipologia: letteraIncipit: ""La deliberazione fatta, et il continuo desiderio di trasferirmi...""Minuta priva dell'indicazione del destinatario
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 17, c. 24r<br/>
</td>",,"*Argomenti privati.
","*Firenze  (provenienza.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Torsi Andrea, 10 ottobre 1656.
","Tipologia: letteraIncipit: ""La speranza o il desiderio almeno che si ha che in breve per divina misericordia...""MinutaPubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 367-368, n. 723
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 18, c. 25r-26r<br/>
</td>","Torsi, Andrea, sec. XVII,  (destinatario.)
Galilei, Cosimo, 1636-1672,  (citato.)
Galilei, Galileo, 1564-1642,  (citato.)
Galilei, Vincenzo, n. 1608,  (citato.)
Guldin, Paul, 1577-1643,  (citato.)
D'Aviso, Urbano, 1618-1685,  (citato.)
White, Richard, n. 1590,  (citato.)
",,"*Firenze  (provenienza.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Retano Tommaso, 5 gennaio 1657.
","Tipologia: letteraIncipit: ""Il giovane studente di Geometria che il padre Reverendissimo..""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 19, c. 27r-v<br/>
</td>","Retano, Tommaso, sec. XVII,  (destinatario.)
","*Suppliche.
","*Firenze  (provenienza.)*Roma  (destinazione.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Bordoni Bastiano, 14 gennaio 1657 ab Inc. [i.e. 1658].
","Tipologia: letteraIncipit: ""Accuso la di Vostra Signoria de' 12 stante, con inclusavi...""Minuta. Tracce di sigillo a ceralacca
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 20, c. 28r<br/>
</td>","Bordoni, Bastiano, sec. XVII,  (destinatario.)
","*Argomenti privati.
","*Firenze  (provenienza.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a [non identificato], 5 aprile 1657.
","Tipologia: letteraIncipit: ""La cortesissima di Vostra Signoria de' 28 scorso scrittami di demandazione...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 21, c. 30r<br/>
</td>","Medici, Leopoldo de', 1617-1675,  (citato.)
","*Strumenti.
","*Firenze  (provenienza.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Viviani Alamanno e Lapi Michelangelo, 11 aprile 1657.
","Tipologia: letteraIncipit: ""Il regalo fattoci da loro dell'Icona, si richiede qualche corrispondenza...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 22, c. 31r-32r<br/>
</td>","Chigi, Mario, sec. XVII,  (citato.)
Manetti,  (citato.)
Paolucci,  (citato.)
Rondinelli,  (citato.)
Viviani, Alamanno, m. post 1671,  (destinatario.)
Lapi, Michelangelo, sec. XVII,  (destinatario.)
","*Affari economici.
","*Firenze  (provenienza.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Borelli Giovanni Alfonso, 26 maggio 1657.
","Tipologia: letteraIncipit: ""Dal Signor Cosimo Galilei haverà inteso Vostra Signoria...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 23, c. 33r-v<br/>
</td>","Medici, Leopoldo de', 1617-1675,  (citato.)
Galilei, Cosimo, 1636-1672,  (citato.)
Borelli, Giovanni Alfonso, 1608-1679,  (destinatario.)
","*Varia.
","*Padova  (provenienza.)*Pisa  (destinazione.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Magalotti Lorenzo, 11 settembre 1657.
","Tipologia: letteraIncipit: ""Vengo richiesto da un Cavaliere Forestiero di fargli vedere per un sol giorno...""La lettera riporta anche la risposta del Magalotti
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 24, c. 34r<br/>
</td>","Magalotti, Lorenzo, 1637-1712,  (destinatario.)
",,"*Firenze  (provenienza.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Beauregard Claude Guillermet, 15 dicembre 1657.
","Tipologia: letteraIncipit: ""Supplico Vostra Signoria molto Illustre et Eccellentissima a farmi grazia di darmi...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 25, c. 36r<br/>
</td>","Argoli, Andrea, 1570-1657,  (citato.)
Bérigard, Claude Guillermet de, ca. 1578-1663,  (destinatario.)
Università degli studi (Padova),  (possessore.)
","*Padova, Studio di.
","*Firenze  (provenienza.)*Padova  (destinazione.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Ricci Ottavio, 17 dicembre 1657.
","Tipologia: letteraIncipit: ""All'avviso che il Padrone Serenissimo habbia destinata di inviarla prontamente...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 26, c. 37r-v<br/>
</td>","Ricci, Ottavio, sec. XVII,  (destinatario.)
","*Argomenti privati.
","*Firenze  (provenienza.)*Pisa  (destinazione.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Decena, 22 dicembre 1657.
","Tipologia: letteraIncipit: ""Avevo deliberato di non rispondere alla cortesissima di Vostra Signoria...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 27, c. 38r-v<br/>
</td>","Medici, Leopoldo de', 1617-1675,  (citato.)
Decena, sec. XVII,  (destinatario.)
","*Idrologia.
","*Firenze  (provenienza.)*Pisa  (destinazione.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a [non identificato], 18 gennaio 1658 ab Inc. [i.e. 1659].
","Tipologia: letteraIncipit: ""Inviai il di 4 stante a Vostra Signoria Illustrissima et Eccellentissima una mia...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 28, c. 40r<br/>
</td>",,"*Affari economici.
","*Firenze  (provenienza.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Patriarca Mario, 18 febbraio 1658 [ab Inc.] [i.e. 1659].
","Tipologia: letteraIncipit: ""Tardi non furon mai gratie del cielo che tali reputo quelle che mi vengono...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 29, c. 41r<br/>
</td>","Patriarca, Mario, sec. XVII,  (destinatario.)
","*Argomenti privati.
","*Firenze  (provenienza.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Botta Nicolò, 1 marzo 1658 [ab Inc.] [i.e. 1659].
","Tipologia: letteraIncipit: ""Il Signor Mario Petrarca  m'impone per sua ...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 30, c. 43r<br/>
</td>","Botta, Nicolò, sec. XVII,  (destinatario.)
","*Argomenti privati.
","*Firenze  (provenienza.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Molara Bruto (della), 25 maggio 1658.
","Tipologia: letteraIncipit: ""Tarde non furon mai grazie divine, che tale io reputo quella della gentilissima lettera...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 31, c. 44r<br/>
</td>","Nardi, Giovanni, 1585-1654,  (citato.)
Molara, Bruto della, 1639-1685,  (destinatario, citato.)
","*Argomenti privati.
","*Firenze  (provenienza.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a [non identificato], 13 luglio 1658.
","Tipologia: letteraIncipit: ""Giunsi finalmente col divino aiuto dopo una lunga ma felice peregrinazione...""Minuta. Sul verso minuta di un'altra lettera inviata a Cosimo Galilei probabilmente lo stesso 13 luglio 1658
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 32, c. 46r-v<br/>
</td>",,"*Argomenti privati.
",
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Galilei Cosimo, 19 aprile 1659.
","Tipologia: letteraIncipit: ""Per rompere il silenzio accuso a Vostra Signoria la sua de' 6 stante...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 33, c. 47r-v<br/>
</td>","Galilei, Cosimo, 1636-1672,  (destinatario.)
","*Argomenti privati.
",
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Devicq Ippolito, 24 aprile 1659.
","Tipologia: letteraIncipit: ""La cortesia di Vostra Signoria Illustrissima mi fa ardito di ricorrere alle sue grazie...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 34, c. 48r-v<br/>
</td>","Ferdinando II, granduca di Toscana, 1610-1670,  (citato.)
Viviani, Pietro, sec. XVII,  (citato.)
Pivelli,  (citato.)
Devicq, Ippolito, sec. XVII,  (destinatario.)
","*Argomenti privati.
",
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Devicq Ippolito, 25 aprile 1659.
","Tipologia: letteraIncipit: ""Dall'efficacissimo patrocinio di Vostra Signoria Illustrissima non potevo sperare...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 35, c. 49r<br/>
</td>","Devicq, Ippolito, sec. XVII,  (destinatario.)
","*Argomenti privati.
","*Firenze  (provenienza.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Magalotti Lorenzo, 15 novembre 1659.
","Tipologia: letteraIncipit: ""Di dieci lettere che devo scrivere questa è la prima ...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 36, c. 50r-v<br/>
</td>","Magalotti, Lorenzo, 1637-1712,  (destinatario.)
","*Argomenti privati.
","*Firenze  (provenienza.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Strozzi Carlo, 15 novembre 1659.
","Tipologia: letteraIncipit: ""La convalescenza di una gravissima e lunga malattia mi tiene ancora in casa...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 37, c. 51r-v<br/>
</td>","Strozzi, Carlo, 1587-1670,  (destinatario.)
","*Notizie di libri.
","*Firenze  (provenienza.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a [non identificato], 29 novembre 1659.
","Tipologia: letteraIncipit: ""Obbedisco, oh che legge soave quella che sii conforma con la natura...""Minuta priva dell'indicazione del destinatario
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 38, c. 52r-52bis r<br/>
</td>",,"*Argomenti privati.
","*Firenze  (provenienza.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Ricci Michelangelo, 13 dicembre 1659.
","Tipologia: letteraIncipit: ""E' già circa un mese, che per via  [...]del Signor Rucellai, inviai ...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 39, c. 53r<br/>
</td>","Ricci, Michelangelo, 1619-1682,  (destinatario.)
","*Varia.
","*Firenze  (provenienza.)*Roma  (destinazione.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Molara Bruto (della), 24 dicembre 1659.
","Tipologia: letteraIncipit: ""A tempo o fuor di tempo che gli pervenga questa mia bastami che per tempo...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 40, c. 54r-55r<br/>
</td>","Molara, Bruto della, 1639-1685,  (destinatario.)
Albizzi, Cesare degli, sec. XVII,  (citato.)
Carlotti, Bonaventura, sec. XVII,  (citato.)
Cumano, Asdrubale, sec. XVII,  (citato.)
Ugolini, Belisario, sec. XVII,  (citato.)
Botta, Nicolò, sec. XVII,  (citato.)
","*Argomenti privati.
","*Firenze  (provenienza.)
"
