Sender,Receiver,Date,Provenance,Destination,Subject,Cited names,Reference,Year,Incipit
Viviani Vincenzo,Bérigard Claude Guillermet (de),30/10/1655,Firenze,Padova,,"Rinaldini, Carlo, 1615-1698,(citato.)Cecchi, Andrea, sec. XVII,(citato.)Bérigard, Claude Guillermet de, ca. 1578-1663,(destinatario.)","Gal. 157, doc. 11, c. 15r-v",1655,"""Se il viaggio di Vostra Signoria sarà stato quale glie l'ho bramato...""MinutaPubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 271-272, n. 650
"
Viviani Vincenzo,Della Bella Stefano,21/12/1655,Firenze,Firenze,,"Della Bella, Stefano, 1610-1664,(destinatario.)","Gal. 157, doc. 12, c. 16r",1655,"""Di tre particolari ch'io dovevo domandare a Vostra Signoria intorno a quel frontispizio...""
"
Viviani Vincenzo,Del Bianco Baccio,13/01/1656,Firenze,Madrid,Idrologia,"Del Bianco, Baccio, 1604-1656,(destinatario.)Marmi, Biagio, sec. XVII,(citato.)Galilei Bocchineri, Sestilia, m. 1669,(citato.)Galilei, Galileo, 1564-1642,(citato.)Alamanni,(citato.)","Gal. 157, doc. 13, c. 18r-19v",1656,"""Oggi a hore 23 1/2 ho inteso dal Signor Biagio Marmi che domattina...""Minuta
"
Viviani Vincenzo,Lapi Michelangelo,1656,Firenze,,Argomenti privati,"Serni,(citato.)Barducci, Giovanni Battista, m. 1661,(citato.)Lapi, Michelangelo, sec. XVII,(destinatario.)","Gal. 157, doc. 14, c. 20r-v",1656,"""E' già un tempo che viviamo in un continuo pensiero della salute di Vostra Signoria...""Minuta
"
Viviani Vincenzo,Del Bianco Baccio,3/06/1656,Firenze,Madrid,,"Del Bianco, Baccio, 1604-1656,(destinatario.)Medici, Giovanni Carlo de', 1611-1663,(citato.)Valori,(citato.)Del Bianco, Raffaello, sec. XVII,(citato.)","Gal. 157, doc. 15, c. 21r",1656,"""La certezza che ho che questo mio foglio sia per essergli recapitato...""Minuta. A c. 21v e 22v brevi annotazioni di contiPubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 346-347, n. 707
"
Viviani Vincenzo,Serni Pompeo,14/06/1656,Firenze,Roma,,"Serni, Pompeo, sec. XVII,(destinatario.)Casati, Paolo, 1617-1707,(citato.)Serni, Bartolommeo, sec. XVII,(citato.)","Gal. 157, doc. 16, c. 23r",1656,"""Tardi mi fu resa la favoritissima di Vostra Signoria Eccellentissima insieme...""MinutaPubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 348-349, n. 709
"
Viviani Vincenzo,[non identificato],30/06/1656,Firenze,,Argomenti privati,,"Gal. 157, doc. 17, c. 24r",1656,"""La deliberazione fatta, et il continuo desiderio di trasferirmi...""Minuta priva dell'indicazione del destinatario
"
Viviani Vincenzo,Torsi Andrea,10/10/1656,Firenze,,,"Torsi, Andrea, sec. XVII,(destinatario.)Galilei, Cosimo, 1636-1672,(citato.)Galilei, Galileo, 1564-1642,(citato.)Galilei, Vincenzo, n. 1608,(citato.)Guldin, Paul, 1577-1643,(citato.)D'Aviso, Urbano, 1618-1685,(citato.)White, Richard, n. 1590,(citato.)","Gal. 157, doc. 18, c. 25r-26r",1656,"""La speranza o il desiderio almeno che si ha che in breve per divina misericordia...""MinutaPubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 367-368, n. 723
"
Viviani Vincenzo,Retano Tommaso,5/01/1657,Firenze,Roma,Suppliche,"Retano, Tommaso, sec. XVII,(destinatario.)","Gal. 157, doc. 19, c. 27r-v",1657,"""Il giovane studente di Geometria che il padre Reverendissimo..""Minuta
"
Viviani Vincenzo,Bordoni Bastiano,14/01/1658,Firenze,,Argomenti privati,"Bordoni, Bastiano, sec. XVII,(destinatario.)","Gal. 157, doc. 20, c. 28r",1658,"""Accuso la di Vostra Signoria de' 12 stante, con inclusavi...""Minuta. Tracce di sigillo a ceralacca
"
Viviani Vincenzo,[non identificato],5/04/1657,Firenze,,Strumenti,"Medici, Leopoldo de', 1617-1675,(citato.)","Gal. 157, doc. 21, c. 30r",1657,"""La cortesissima di Vostra Signoria de' 28 scorso scrittami di demandazione...""Minuta
"
Viviani Vincenzo,Viviani Alamanno e Lapi Michelangelo,11/04/1657,Firenze,,Affari economici,"Chigi, Mario, sec. XVII,(citato.)Manetti,(citato.)Paolucci,(citato.)Rondinelli,(citato.)Viviani, Alamanno, m. post 1671,(destinatario.)Lapi, Michelangelo, sec. XVII,(destinatario.)","Gal. 157, doc. 22, c. 31r-32r",1657,"""Il regalo fattoci da loro dell'Icona, si richiede qualche corrispondenza...""
"
Viviani Vincenzo,Borelli Giovanni Alfonso,26/05/1657,Padova,Pisa,Varia,"Medici, Leopoldo de', 1617-1675,(citato.)Galilei, Cosimo, 1636-1672,(citato.)Borelli, Giovanni Alfonso, 1608-1679,(destinatario.)","Gal. 157, doc. 23, c. 33r-v",1657,"""Dal Signor Cosimo Galilei haverà inteso Vostra Signoria...""Minuta
"
Viviani Vincenzo,Magalotti Lorenzo,11/09/1657,Firenze,,,"Magalotti, Lorenzo, 1637-1712,(destinatario.)","Gal. 157, doc. 24, c. 34r",1657,"""Vengo richiesto da un Cavaliere Forestiero di fargli vedere per un sol giorno...""La lettera riporta anche la risposta del Magalotti
"
Viviani Vincenzo,Beauregard Claude Guillermet,15/12/1657,Firenze,Padova,"Padova, Studio di","Argoli, Andrea, 1570-1657,(citato.)Bérigard, Claude Guillermet de, ca. 1578-1663,(destinatario.)Università degli studi (Padova),(possessore.)","Gal. 157, doc. 25, c. 36r",1657,"""Supplico Vostra Signoria molto Illustre et Eccellentissima a farmi grazia di darmi...""Minuta
"
Viviani Vincenzo,Ricci Ottavio,17/12/1657,Firenze,Pisa,Argomenti privati,"Ricci, Ottavio, sec. XVII,(destinatario.)","Gal. 157, doc. 26, c. 37r-v",1657,"""All'avviso che il Padrone Serenissimo habbia destinata di inviarla prontamente...""Minuta
"
Viviani Vincenzo,Decena,22/12/1657,Firenze,Pisa,Idrologia,"Medici, Leopoldo de', 1617-1675,(citato.)Decena, sec. XVII,(destinatario.)","Gal. 157, doc. 27, c. 38r-v",1657,"""Avevo deliberato di non rispondere alla cortesissima di Vostra Signoria...""Minuta
"
Viviani Vincenzo,[non identificato],18/01/1659,Firenze,,Affari economici,,"Gal. 157, doc. 28, c. 40r",1659,"""Inviai il di 4 stante a Vostra Signoria Illustrissima et Eccellentissima una mia...""Minuta
"
Viviani Vincenzo,Patriarca Mario,18/02/1659,Firenze,,Argomenti privati,"Patriarca, Mario, sec. XVII,(destinatario.)","Gal. 157, doc. 29, c. 41r",1659,"""Tardi non furon mai gratie del cielo che tali reputo quelle che mi vengono...""Minuta
"
Viviani Vincenzo,Botta Nicolò,1/03/1659,Firenze,,Argomenti privati,"Botta, Nicolò, sec. XVII,(destinatario.)","Gal. 157, doc. 30, c. 43r",1659,"""Il Signor Mario Petrarca  m'impone per sua ...""Minuta
"
Viviani Vincenzo,Molara Bruto (della),25/05/1658,Firenze,,Argomenti privati,"Nardi, Giovanni, 1585-1654,(citato.)Molara, Bruto della, 1639-1685,(destinatario, citato.)","Gal. 157, doc. 31, c. 44r",1658,"""Tarde non furon mai grazie divine, che tale io reputo quella della gentilissima lettera...""Minuta
"
Viviani Vincenzo,[non identificato],13/07/1658,,,Argomenti privati,,"Gal. 157, doc. 32, c. 46r-v",1658,"""Giunsi finalmente col divino aiuto dopo una lunga ma felice peregrinazione...""Minuta. Sul verso minuta di un'altra lettera inviata a Cosimo Galilei probabilmente lo stesso 13 luglio 1658
"
Viviani Vincenzo,Galilei Cosimo,19/04/1659,,,Argomenti privati,"Galilei, Cosimo, 1636-1672,(destinatario.)","Gal. 157, doc. 33, c. 47r-v",1659,"""Per rompere il silenzio accuso a Vostra Signoria la sua de' 6 stante...""Minuta
"
Viviani Vincenzo,Devicq Ippolito,24/04/1659,,,Argomenti privati,"Ferdinando II, granduca di Toscana, 1610-1670,(citato.)Viviani, Pietro, sec. XVII,(citato.)Pivelli,(citato.)Devicq, Ippolito, sec. XVII,(destinatario.)","Gal. 157, doc. 34, c. 48r-v",1659,"""La cortesia di Vostra Signoria Illustrissima mi fa ardito di ricorrere alle sue grazie...""Minuta
"
Viviani Vincenzo,Devicq Ippolito,25/04/1659,Firenze,,Argomenti privati,"Devicq, Ippolito, sec. XVII,(destinatario.)","Gal. 157, doc. 35, c. 49r",1659,"""Dall'efficacissimo patrocinio di Vostra Signoria Illustrissima non potevo sperare...""Minuta
"
Viviani Vincenzo,Magalotti Lorenzo,15/11/1659,Firenze,,Argomenti privati,"Magalotti, Lorenzo, 1637-1712,(destinatario.)","Gal. 157, doc. 36, c. 50r-v",1659,"""Di dieci lettere che devo scrivere questa è la prima ...""Minuta
"
Viviani Vincenzo,Strozzi Carlo,15/11/1659,Firenze,,Notizie di libri,"Strozzi, Carlo, 1587-1670,(destinatario.)","Gal. 157, doc. 37, c. 51r-v",1659,"""La convalescenza di una gravissima e lunga malattia mi tiene ancora in casa...""Minuta
"
Viviani Vincenzo,[non identificato],29/11/1659,Firenze,,Argomenti privati,,"Gal. 157, doc. 38, c. 52r-52",1659,"""Obbedisco, oh che legge soave quella che sii conforma con la natura...""Minuta priva dell'indicazione del destinatario
"
Viviani Vincenzo,Ricci Michelangelo,13/12/1659,Firenze,Roma,Varia,"Ricci, Michelangelo, 1619-1682,(destinatario.)","Gal. 157, doc. 39, c. 53r",1659,"""E' già circa un mese, che per via  [...]del Signor Rucellai, inviai ...""Minuta
"
Viviani Vincenzo,Molara Bruto (della),24/12/1659,Firenze,,Argomenti privati,"Molara, Bruto della, 1639-1685,(destinatario.)Albizzi, Cesare degli, sec. XVII,(citato.)Carlotti, Bonaventura, sec. XVII,(citato.)Cumano, Asdrubale, sec. XVII,(citato.)Ugolini, Belisario, sec. XVII,(citato.)Botta, Nicolò, sec. XVII,(citato.)","Gal. 157, doc. 40, c. 54r-55r",1659,"""A tempo o fuor di tempo che gli pervenga questa mia bastami che per tempo...""Minuta
"
Viviani Vincenzo,Lapi Michelangelo,30/12/1659,Firenze,Roma,Notizie di libri,"Ricci, Michelangelo, 1619-1682,(citato.)Lapi, Michelangelo, sec. XVII,(destinatario.)","Gal. 157, doc. 41, c. 56r-57r",1659,"""Posso quasi dire, per la Dio grazia, d'aver recuperata la sanità. La mia opera...""Minuta
"
Viviani Vincenzo,Galilei Cosimo,7/01/1660,Firenze,Bergamo,Argomenti privati,"Galilei, Cosimo, 1636-1672,(destinatario.)","Gal. 157, doc. 42, c. 58r-59r",1660,"""La di Vostra Signoria de 24 novembre dopo aver un pezzo peregrinato...""Minuta
"
Viviani Vincenzo,[non identificato],22/01/1660,Firenze,,Argomenti privati,"Fabbri, Francesco, sec. XVII,(citato.)Southwell, Robert, 1635-1702,(citato.)Ricci, Michelangelo, 1619-1682,(citato.)Molara, Bruto della, 1639-1685,(citato.)","Gal. 157, doc. 43, c. 60r",1660,"""Giovasi credere, anzi tengo per certo che i suoi interessi dal di 8 stante...""Minuta
"
Viviani Vincenzo,Magalotti Lorenzo,25/01/1660,Firenze,,Argomenti privati,"Magalotti, Lorenzo, 1637-1712,(destinatario.)","Gal. 157, doc. 44, c. 61r-62r",1660,"""Quando io scrissi a Vostra Signoria alli 11 di questo (benchè io dubiti d'aver...""Minuta
"
Viviani Vincenzo,Magalotti Lorenzo,1660,Firenze,,Varia,"Borelli, Giovanni Alfonso, 1608-1679,(citato.)Magalotti, Lorenzo, 1637-1712,(destinatario.)Fabbri, Onorato,(citato.)","Gal. 157, doc. 45, c. 63r",1660,"""Se Vostra Signoria non ha mandato l'ultime lettere del padre Fabbri al signor Borelli...""Minuta
"
Viviani Vincenzo,Magalotti Lorenzo,1/02/1661,Firenze,,Argomenti privati,"Dati, Carlo Roberto, 1619-1676,(citato.)Magalotti, Lorenzo, 1637-1712,(destinatario.)","Gal. 157, doc. 46, c. 65r",1661,"""Perch'io intendo dal Signor Carlo Dati che Vostra Signoria ha destinato...""Minuta
"
Viviani Vincenzo,Thevenot Melchisédec,8/02/1661,Firenze,Parigi,Notizie di libri,"Medici, Leopoldo de', 1617-1675,(citato.)Thévenot, Melchisédech, 1620-1680,(destinatario.)","Gal. 157, doc. 47, c. 66r-67v",1661,"""Nè mutazion di fortuna, nè separazione d'individui, nè distanza di luoghi...""Minuta
"
Viviani Vincenzo,Southwell Robert,19/02/1661,Firenze,Roma,Argomenti privati,"Riccardo, sec. XVII,(citato.)Southwell, Robert, 1635-1702,(destinatario.)","Gal. 157, doc. 48, c. 68r-v",1661,"""Se non per accusare a Vostra Signoria Illustrissima solo la gentilissima sua...""Minuta
"
Viviani Vincenzo,Monconys Balthasar (de),4/03/1661,Firenze,Parigi,Notizie di libri,"Monconys, Balthasar de, 1611-1665,(destinatario.)Bonsi,(citato.)Ferdinando II, granduca di Toscana, 1610-1670,(citato.)Medici, Leopoldo de', 1617-1675,(citato.)Talducci della Casa, Iacinto Antonio, 1601-1700,(citato.)Thévenot, Melchisédech, 1620-1680,(citato.)Marucelli, Giovan Filippo, 1628-1680,(citato.)","Gal. 157, doc. 49, c. 70r-71v",1661,"""Il giorno stesso della partenza di Vostra Signoria Illustrissima di qua la città...""Minuta
"
Viviani Vincenzo,Monconys Balthasar (de),[sd],Firenze,,Argomenti privati,"Torricelli,(citato.)Monconys, Balthasar de, 1611-1665,(destinatario.)","Gal. 157, doc. 50, c. 72r",[sd],"""Non posso non restare interamente obligato alla gentilezza di Vostra Signoria...""Minuta
"
Viviani Vincenzo,Magalotti Lorenzo,7/03/1660,Firenze,,,"Magiotti,(citato.)Magalotti, Lorenzo, 1637-1712,(destinatario.)","Gal. 157, doc. 51, c. 73r",1660,"""Favoriscami di gratia di scrivere questa sera a Roma per questo Padre...""La lettera riporta in calce la risposta del Magalotti
"
Viviani Vincenzo,Patriarca Mario,20/04/1660,Firenze,,Argomenti privati,"Patriarca, Mario, sec. XVII,(destinatario.)","Gal. 157, doc. 52, c. 75r-v",1660,"""Perch'io son più certo che Vostra Signoria Illustrissima come ...""Minuta
"
Viviani Vincenzo,[non identificato],/05/1660,Firenze,,Varia,"Meier,(citato.)Ferdinando II, granduca di Toscana, 1610-1670,(citato.)","Gal. 157, doc. 53, c. 77r-v",1660,"""Come forse averà inteso Vostra Signoria Illustrissima per altra via, la domenica passata...""Minuta. A c. 78v inizio di lettera al Granduca
"
Viviani Vincenzo,Lapi Michelangelo,12/06/1660,Firenze,Roma,Notizie di libri,"Serni, Pompeo, sec. XVII,(citato.)Lapi, Michelangelo, sec. XVII,(destinatario.)","Gal. 157, doc. 54, c. 79r-80v",1660,"""Tre giorni sono consegnai alla condotta del Berni una cassetta...""Minuta
"
Viviani Vincenzo,Barberini Antonio,26/06/1660,Firenze,,Notizie di libri,"Barberini, Antonio, 1607-1671,(destinatario.)Magalotti, Lorenzo, 1637-1712,(citato.)","Gal. 157, doc. 55, c. 81r-v",1660,"""Sul fondamento d'aver, benchè scarso, e rozamente accennato nell'ingresso di questo...""
"
Viviani Vincenzo,Ricci Michelangelo,10/07/1660,Firenze,Roma,Notizie di libri,"Torricelli, Evangelista, 1608-1647,(citato.)Lapi, Michelangelo, sec. XVII,(citato.)Ricci, Michelangelo, 1619-1682,(destinatario.)","Gal. 157, doc. 56, c. 82r-83r",1660,"""Dal Signor Michelangelo Lapi mio cugino sarà presentato a Vostra Signoria...""Minuta. Sul verso di c. 83 altra minuta priva di  mittente
"
Viviani Vincenzo,[non identificato],21/07/1660,Firenze,,Notizie di libri,"Pompeo, sec. XVII,(citato.)Aldobrandini, Baccio, 1613-1665	,(citato.)","Gal. 157, doc. 57, c. 83v",1660,"""Ricevei una cortesissima di Vostra Signoria Eccellentissima accompagnata...""Minuta
"
Viviani Vincenzo,Galilei Cosimo,7/08/1660,Firenze,Bergamo,Notizie di libri,"Galilei, Cosimo, 1636-1672,(destinatario.)","Gal. 157, doc. 58, c. 84r-v",1660,"""Finalmente tornò di Roma quel libro destinato per l'Eccellentissimo suo...""Minuta
"
Viviani Vincenzo,[non identificato],7/08/1660,Firenze,,Notizie di libri,,"Gal. 157, doc. 59, c. 85r",1660,"""Ricorro al solito a supplicare la cortesia di Vostra Signoria Illustrissima et Eccellentissima...""Minuta
"
Viviani Vincenzo,Lapi Michelangelo,28/08/1660,Firenze,,Notizie di libri,"Lapi, Michelangelo, sec. XVII,(destinatario.)Barberini, Antonio, 1607-1671,(citato.)Dati, Carlo Roberto, 1619-1676,(citato.)Magalotti, Lorenzo, 1637-1712,(citato.)Pompeo, sec. XVII,(citato.)Spada, Giovanni Battista, 1597-1675,(citato.)","Gal. 157, doc. 60, c. 86r",1660,"""Ricevei la cassetta con i miei libri ben condizionata insieme con l'opere di Vostra...""
"
Southwell Robert,Viviani Vincenzo,15/09/1660,,,Ricette mediche,"Viviani, Vincenzo, 1622-1703,(destinatario.)","Gal. 157, doc. 61, c. 87r-v",1660,"""Per salis communi salis ammoniace duplum...""
"
Viviani Vincenzo,Ricci Michelangelo,/09/1660,Firenze,Roma,Notizie di libri,"Sluse, René François Walter de, 1622-1685,(citato.)Ricci, Michelangelo, 1619-1682,(destinatario.)Serenai, Lodovico, 1599-1685,(citato.)Torricelli,(citato.)White, Richard, n. 1590,(citato.)","Gal. 157, doc. 62, c. 88r-89v",1660,"""Ricevo dalla liberalità di Vostra Signoria Illustrissima il libretto del Signor...""Minuta
"
Viviani Vincenzo,Southwell Robert,6/10/1660,Pistoia,,Argomenti privati,"Boyle, Robert, 1627-1691,(citato.)Southwell, Robert, 1635-1702,(destinatario.)","Gal. 157, doc. 63, c. 90r-91v",1660,"""Trovandomi qua a (Pistoia dubbioso) se io possa tornarmene a scriverla...""Minuta
"
Viviani Vincenzo,Bartholin Erasmus,8/10/1660,Firenze,Copenhagen,Notizie di libri,"Bartholin, Rasmus, 1625-1698,(destinatario.)","Gal. 157, doc. 64, c. 92r-v",1660,"""La fretta che mi vien fatta di dover consegnare ad un mercante di qui...""Minuta
"
Viviani Vincenzo,Della Torre Filippo,8/10/1660,,L'Aia,Notizie di libri,"Della Torre, Filippo, sec. XVII,(destinatario.)","Gal. 157, doc. 65, c. 93r-v",1660,"""Nè mutazion di fortuna, nè separazione di persone, nè distanza ...""Minuta
"
Viviani Vincenzo,Magalotti Lorenzo,18/11/1660,Firenze,,Argomenti privati,"Fabbri, Onorato,(citato.)Falconieri, Ottavio, 1646-1676,(citato.)Galilei, Galileo, 1564-1642,(citato.)White, Richard, n. 1590,(citato.)Southwell, Robert, 1635-1702,(citato.)Viviani, Alamanno, m. post 1671,(citato.)Magalotti, Lorenzo, 1637-1712,(destinatario.)Kircher, Athanasius, 1602-1680,(citato.)","Gal. 157, doc. 66, c. 94r",1660,"""Per continuare il nostro amore scriverei spesso ...""Minuta
"
Viviani Vincenzo,Southwell Robert,18/11/1660,Firenze,,Notizie di libri,"Southwell, Robert, 1635-1702,(destinatario.)Ricardo, sec. XVII,(citato.)Magalotti, Lorenzo, 1637-1712,(citato.)Brown, Henry, sec. XVII,(citato.)","Gal. 157, doc. 67, c. 97r-v",1660,"""Dall'Illustrissimo Signor Lorenzo Magalotti, che domani partirà a cotesta volta...""Minuta. A c. 98r, probabilmente legata a questa stessa lettera, un esempio di criptografia
"
Viviani Vincenzo,Southwell Robert,16/11/1660,Firenze,Roma,Idrologia,"Riccardo, sec. XVII,(citato.)Magalotti, Lorenzo, 1637-1712,(citato.)Southwell, Robert, 1635-1702,(destinatario.)","Gal. 157, doc. 68, c. 99r-100v",1660,"""Il nostro Arno pigmeo, per non tralignar dal gran Tevere, amendue figli d'un istesso Appennino...""Minuta
"
Viviani Vincenzo,Viviani Francesco,16/11/1660,Castiglion Fiorentino,Firenze,Argomenti privati,"Viviani, Francesco, sec. XVII,(destinatario.)Paggi,(citato.)Medici, Giovanni Carlo de', 1611-1663,(citato.)Molara, Bruto della, 1639-1685,(citato.)Dati, Francesco, 1615-1689,(citato.)","Gal. 157, doc. 69, c. 101r",1660,"""Posso dire di star bene, benchè io potesse star meglio. Datemi qualche nuova...""
"
Viviani Vincenzo,Magalotti Lorenzo,11/12/1660,Firenze,Roma,Viaggi,"Dati, Carlo Roberto, 1619-1676,(citato.)Magalotti, Lorenzo, 1637-1712,(destinatario.)","Gal. 157, doc. 70, c. 103r-104v",1660,"""Son oggi 19 giorni ch'io tornai dalla mia peregrinazione fatta in lettiga...""Minuta
"
Viviani Vincenzo,Magalotti Lorenzo,25/12/1660,Firenze,Roma,Argomenti privati,"Magalotti, Lorenzo, 1637-1712,(destinatario.)","Gal. 157, doc. 71, c. 105r-108v",1660,"""Eccomi per la Dio gratia, e ad onta delli elementi tornato salvo a Firenze...""Minuta. Cfr. Gal. 170
"
Viviani Vincenzo,Southwell Robert,28/12/1660,Firenze,Roma,Argomenti privati,"Southwell, Robert, 1635-1702,(destinatario.)Molara, Bruto della, 1639-1685,(citato.)Magalotti, Lorenzo, 1637-1712,(citato.)Galilei, Galileo, 1564-1642,(citato.)","Gal. 157, doc. 72, c. 109r-110r",1660,"""L'inclusa scritta la medesima sera del primo giorno di mia partenza...""Minuta
"
Viviani Vincenzo,Lapi Michelangelo,18/01/1660,Firenze,Roma,Notizie di libri,"Lapi, Michelangelo, sec. XVII,(destinatario.)","Gal. 157, doc. 73, c. 111r",1660,"""Accuso a Vostra Signoria Eccellentissima la venuta del libretto...""Minuta
"
Viviani Vincenzo,Medici Leopoldo (de'),26/03/1661,Firenze,,Suppliche,"Ferdinando II, granduca di Toscana, 1610-1670,(citato.)Southwell, Robert, 1635-1702,(citato.)Michelini, Famiano, 1604-1665,(citato.)Medici, Leopoldo de', 1617-1675,(destinatario.)","Gal. 157, doc. 74, c. 112r-113v",1661,"""Quali siano le grazie che io rendo al Serenissimo Granduca...""Minuta
"
Viviani Vincenzo,Tomansi Leopoldo,2/04/1661,Firenze,,Argomenti privati,"Tomansi, Leopoldo, sec. XVII,(destinatario.)","Gal. 157, doc. 75, c. 114r-v",1661,"""La puntualità e diligenza estrema di Vostra Signoria ha rimediato alla mia...""Minuta
"
Viviani Vincenzo,Della Torre Filippo,11/04/1661,Firenze,L'Aia,Notizie di libri,"Ferroni, Giovanni Francesco, sec. XVII,(citato.)Della Torre, Filippo, sec. XVII,(destinatario.)","Gal. 157, doc. 76, c. 115r",1661,"""Fin sotto di 8 ottobre 1660 inviai al Signor Francesco Ferroni...""Minuta
"
Viviani Vincenzo,Bassetti Apollonio,25/03/1661,Firenze,Livorno,Argomenti privati,"Medici, Leopoldo de', 1617-1675,(citato.)Bassetti, Apollonio, 1631-1699,(destinatario.)Ferdinando II, granduca di Toscana, 1610-1670,(citato.)","Gal. 157, doc. 77, c. 116r",1661,"""Accuso la di Vostra Signoria insieme con la pregiatissima del Serenissimo Granduca ...""Minuta
"
