Expéditeur,Notes,References,Noms cités,Sujet,Titre,Date,Provenance,Destination,Destinataire,Year
Renieri Vincenzo,"Incipit: ""Son così sicuro delli effetti della sua amorevolezza ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, I, p. 342-343, n. 235
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 7, c. 13r<br/>
</td>","Galilei, Galileo, 1564-1642,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",,Renieri Vincenzo a Viviani Vincenzo,26/12/1646,Pisa,Firenze,Viviani Vincenzo,1646
Lapi Michelangelo,"Incipit: ""Inclusa mando a Vostra Signoria la ","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 8, c. 15r<br/>
</td>","Arrighetti, Andrea, 1592-1672,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",,Lapi Michelangelo a Viviani Vincenzo,22/02/1644,Roma,Firenze,Viviani Vincenzo,1644
Renieri Vincenzo,"Incipit: ""Scrivo a Messer Amadore che consegni a Vostra Signoria una dozzina ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, I, p. 398-399, n. 283
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 9, c. 16r<br/>
</td>","Massi, Amadore, sec. XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",,Renieri Vincenzo a Viviani Vincenzo,21/08/1647,Pisa,Firenze,Viviani Vincenzo,1647
Renieri Vincenzo,"Incipit: ""Rendo infinite grazie a Vostra Signoria della briga ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, I, p. 410, n. 290
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 10, c. 17r<br/>
</td>","Torricelli, Evangelista, 1608-1647,(citato.)Massi, Amadore, sec. XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",,Renieri Vincenzo a Viviani Vincenzo,11/09/1647,Pisa,Firenze,Viviani Vincenzo,1647
Lapi Michelangelo,"Incipit: ""Sento gusto particolare del nuovo impiego ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, I, p. 491, n. 365
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 11, c. 19r<br/>
</td>","Arrighetti, Andrea, 1592-1672,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",,Lapi Michelangelo a Viviani Vincenzo,8/02/1648,Roma,Firenze,Viviani Vincenzo,1648
Barbarigo Angelo,"Incipit: ""Ho ricevuta la scattola et inviata à Bergamo ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, I, p. 104, n. 81
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 12, c. 21r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",,Barbarigo Angelo a Viviani Vincenzo,5/04/1644,Venezia,Firenze,Viviani Vincenzo,1644
Manetti Braccio,"Incipit: ""Li Accademici del Disegno adunati in n. di 15 ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, I, p. 52, n. 458
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 13, c. 22r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Compagni, Braccio, sec. XVII,(citato.)Strozzi, Carlo, 1587-1670,(citato.)Strozzi, Gabriele, sec. XVII,(citato.)",,Manetti Braccio a Viviani Vincenzo,12/11/1651,Unidentified,Firenze,Viviani Vincenzo,1651
Rosati Gerolamo,"Incipit: ""Dovevo hiermattina passar ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 64-65, n. 472
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 14, c. 24r<br/>
</td>","Parigi, Alfonso, 1606-1656,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",,Rosati Gerolamo a Viviani Vincenzo,7/09/1652,Firenze,Lucca,Viviani Vincenzo,1652
Galilei Cosimo,"Incipit: ""Ricevo finalmente una cortesissima de i 12 di gennaio ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 123-125, n. 521
","<span data-id=""http://imss/name/116487""></span>","Ferdinando II, granduca di Toscana, 1610-1670,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)Bargiacchi, Giovan Carlo, sec. XVII,(citato.)Galilei Bocchineri, Sestilia, m. 1669,(citato.)Cesi, Bartolomeo, 1567-1621,(citato.)Zati, sec. XVII,(citato.)Grassioni, Innocenzo, sec. XVII,(citato.)Lenzi, Vincenzio, sec. XVII,(citato.)Medici, Mattias de', 1613-1667,(citato.)Montemagni, Desiderio, 1597-1666,(citato.)Viviani, Polissena, sec. XVII,(citato.)Galilei, Filippo, sec. XVII,(citato.)",,Galilei Cosimo a Viviani Vincenzo,21/01/1653,Pisa,Firenze,Viviani Vincenzo,1653
Galilei Cosimo,"Incipit: ""Ho riceuto, al solito, dalla gentilezza ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 127, n. 524
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 16, c. 28r-v<br/>
</td>","Galilei Bocchineri, Sestilia, m. 1669,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",,Galilei Cosimo a Viviani Vincenzo,28/01/1653,Pisa,Firenze,Viviani Vincenzo,1653
Galilei Cosimo,"Incipit: ""Ecco l'incompatibile importunità di costui che mai cessa infastidirmi ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 134-136, n. 530
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 17, c. 30r-31r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Bargiacchi, Giovan Carlo, sec. XVII,(citato.)Rinaldini, Carlo, 1615-1698,(citato.)Galilei Bocchineri, Sestilia, m. 1669,(citato.)Galilei, Carlo, 1631-1675,(citato.)Bargiacchi, Lucrezia, sec. XVII,(citato.)",,Galilei Cosimo a Viviani Vincenzo,28/02/1653,Pisa,Firenze,Viviani Vincenzo,1653
Galilei Cosimo,"Incipit: ""Sono comincierò adesso a dir mesi che non ricevo sue lettere ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 140-142, n. 535
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 18, c. 32r-33r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Galilei Bocchineri, Sestilia, m. 1669,(citato.)Galilei, Carlo, 1631-1675,(citato.)Iuvenalis, Decimus Iunius, ca. 60-ca. 140,(citato.)Magnani, Lorenzo, sec. XVII,(citato.)Plautus, Titus Maccius, ca. 250 a.C.-184 a.C.,(citato.)Plinius Secundus, Gaius, ca. 23-79,(citato.)Ricciardi, Giovanni Francesco, sec. XVII,(citato.)Schipsi, Francesco, sec. XVII,(citato.)Xenophon, 430-354 a.C.,(citato.)",,Galilei Cosimo a Viviani Vincenzo,28/03/1653stilepisanoie1652,Pisa,Firenze,Viviani Vincenzo,1652
Galilei Cosimo,"Incipit: ""Sono in obligo di rispondere a due sue cortesissime ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 144-145, n. 538
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 19, c. 34r-v<br/>
</td>","Galilei Bocchineri, Sestilia, m. 1669,(citato.)Agostini, Tiberio, sec. XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",,Galilei Cosimo a Viviani Vincenzo,21/04/1653stilepisanoie1652,Pisa,Firenze,Viviani Vincenzo,1652
Forti Andrea,"Incipit: ""Sono stato più volte al Magistrato della Parte per vedere ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 101, n. 501
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 20, c. 35r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",,Forti Andrea a Viviani Vincenzo,17/10/1653,Unidentified,Firenze,Viviani Vincenzo,1653
Magnani Lorenzo,"Incipit: ""L'eloquentissima ","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 21, c. 37r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Chimentelli, Valerio, 1620-1668,(citato.)Galilei, Cosimo, 1636-1672,(citato.)",,Magnani Lorenzo a Viviani Vincenzo,12/11/1653,Pisa,Firenze,Viviani Vincenzo,1653
Galilei Cosimo,"Incipit: ""Ho riceuto pur alla fine una sua tanto a me grata ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 105-107, n. 506
","<span data-id=""http://imss/name/116487""></span>","Viviani, Vincenzo, 1622-1703,(destinatario.)Biliversi, Lodovico, sec. XVII,(citato.)Bocchineri, Ascanio, m. 1670,(citato.)Galilei Bocchineri, Sestilia, m. 1669,(citato.)Buonaccorsi,(citato.)Checcacci, Andrea, m. ca. 1653,(citato.)Chimentelli, Valerio, 1620-1668,(citato.)Galilei, Bartolomeo, sec. XVII,(citato.)Grassioni, Innocenzo, sec. XVII,(citato.)Magnani, Lorenzo, sec. XVII,(citato.)Martelli, Ugolino, 1519-1592,(citato.)Rinaldini, Carlo, 1615-1698,(citato.)Scalfucci,(citato.)Sergriffi, Francesco Maria, sec. XVII,(citato.)",,Galilei Cosimo a Viviani Vincenzo,3/12/1653,Pisa,Firenze,Viviani Vincenzo,1653
Galilei Cosimo,"Incipit: ""Ricevo una sua cortesissima dalla quale intendo il dispiacere ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 113-114, n. 512
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 23, c. 41r-42r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Galilei Bocchineri, Sestilia, m. 1669,(citato.)Medici, Leopoldo de', 1617-1675,(citato.)Clavius, Christoph, 1538-1612,(citato.)Galilei, Bartolomeo, sec. XVII,(citato.)Galilei, Carlo, 1631-1675,(citato.)Chimentelli, Valerio, 1620-1668,(citato.)",,Galilei Cosimo a Viviani Vincenzo,13/12/1653,Pisa,Firenze,Viviani Vincenzo,1653
Galilei Cosimo,"Incipit: ""Scrivo in fretta perché costui vuol partire ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 148, n. 541
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 24, c. 43r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Ricciardi, Giovanni Battista, 1623-1686,(citato.)Galilei, Bartolomeo, sec. XVII,(citato.)Galilei Bocchineri, Sestilia, m. 1669,(citato.)",,Galilei Cosimo a Viviani Vincenzo,25/05/1654,Pisa,Firenze,Viviani Vincenzo,1654
Lapi Michelangelo,"Incipit: ""Il primo ordinario doppo ch'io fui giunto ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 150, n. 543
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 25, c. 45r<br/>
</td>","Riccardi, Gabriello, m. post 1688,(citato.)Galilei Bocchineri, Sestilia, m. 1669,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",,Lapi Michelangelo a Viviani Vincenzo,11/07/1654,Roma,Firenze,Viviani Vincenzo,1654
Serni Pompeo,"Incipit: ""Pigliata lingua per mezzo del Padre Reverendissimo Generale ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 150-151, n. 544
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 26, c. 47r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Marini, Giovanni Battista de, 1597-1669,(citato.)",,Serni Pompeo a Viviani Vincenzo,11/07/1654,Roma,Firenze,Viviani Vincenzo,1654
Rucellai Orazio,"Incipit: ""Si prega il Signor Viviani a venire mercoledì mattina ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 152, n. 547
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 27, c. 49r<br/>
</td>","Pandolfini, Filippo, 1575-1655,(citato.)Arrighetti, Andrea, 1592-1672,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",,Rucellai Orazio a Viviani Vincenzo,10/08/1654,Unidentified,Firenze,Viviani Vincenzo,1654
Combi & La Nou (casa editrice),"Incipit: ""Mandiamo questa sera al Signor Cecchi ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 156, n. 553
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 28, c. 51r<br/>
</td>","Vitruvius Pollio, ca. 80-ca. 15 a.C.,(citato.)Cecchi, Andrea, sec. XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",,Combi & La Nou (casa editrice) a Viviani Vincenzo,21/11/1654,Venezia,Firenze,Viviani Vincenzo,1654
Combi & La Nou (casa editrice),"Incipit: ""Ne dispiace intender che Vostra Signoria è restata mal sodisfatta ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 157-158, n. 554
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 29, c. 53r-v<br/>
</td>","Maghetti, Benedetto, sec. XVII,(citato.)Cecchi, Andrea, sec. XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",,Combi & La Nou (casa editrice) a Viviani Vincenzo,21/11/1654,Venezia,Firenze,Viviani Vincenzo,1654
Combi & La Nou (casa editrice),"Incipit: ""Già un mese scrissi a Vostra Signoria una letterina nel plico ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 163, n. 559
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 30, c. 55r<br/>
</td>","Cecchi, Andrea, sec. XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",,Combi & La Nou (casa editrice) a Viviani Vincenzo,12/12/1654,Venezia,Firenze,Viviani Vincenzo,1654
Combi & La Nou (casa editrice),"Incipit: ""Ne dispiace bene che Vostra Signoria dice non haver ricevute ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 164, n. 561
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 31, c. 57r<br/>
</td>","Vitruvius Pollio, ca. 80-ca. 15 a.C.,(citato.)Cecchi, Andrea, sec. XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",,Combi & La Nou (casa editrice) a Viviani Vincenzo,19/12/1654,Venezia,Firenze,Viviani Vincenzo,1654
Galilei Cosimo,"Incipit: ""Il desiderio che sento prima della sua salute poi dell'avanzamento ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 205-206, n. 591
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 32, c. 59r-60r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Galilei Bocchineri, Sestilia, m. 1669,(citato.)Viviani, Francesco, sec. XVII,(citato.)Marsili, Alessandro, 1601-1670,(citato.)Naldi, Matteo, m. 1682,(citato.)Alexander VII, papa, 1599-1667,(citato.)",,Galilei Cosimo a Viviani Vincenzo,14/04/1655,Pisa,Firenze,Viviani Vincenzo,1655
Galilei Cosimo,"Incipit: ""Siamo stati attendendola tutta la settimana passata ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 33, c. 61r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Galilei Cosimo a Viviani Vincenzo,31/01/1656,Pisa,Firenze,Viviani Vincenzo,1656
Retano Tommaso,"Incipit: ""Per ricordare a Vostra Signoria la mia vera e non interrotta osservanza ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 293, n. 670
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 34, c. 62r<br/>
</td>","Fioretti, Benedetto, 1579-1642,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",,Retano Tommaso a Viviani Vincenzo,6/02/1656,Fano,Firenze,Viviani Vincenzo,1656
Lapi Michelangelo,"Incipit: ""Non posso avisar Vostra Signoria come desidera ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 297-298, n. 675
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 35, c. 64r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Barberini, Antonio, 1607-1671,(citato.)Galilei Bocchineri, Sestilia, m. 1669,(citato.)Thévenot, Melchisédech, 1620-1680,(citato.)",,Lapi Michelangelo a Viviani Vincenzo,12/02/1656,Roma,Firenze,Viviani Vincenzo,1656
Serenai Lodovico,"Incipit: ""Io ringrazio Vostra Signoria della misura del miglio ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 361-362, n. 717
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 36, c. 66r-v<br/>
</td>","Viviani, Francesco, sec. XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",,Serenai Lodovico a Viviani Vincenzo,20/08/1656,Unidentified,Firenze,Viviani Vincenzo,1656
